date,weather,temperature,wind
2021-09-01,晴/晴,37/27,东北风1-2级/东北风1-2级
2021-09-02,多云/多云,34/25,东北风1-2级/东北风1-2级
2021-09-03,多云/多云,36/25,东风1-2级/东风1-2级
2021-09-04,晴/晴,37/27,东北风1-2级/东北风1-2级
2021-09-05,小雨/多云,35/26,西北风1-2级/西北风1-2级
2021-09-06,多云/多云,31/24,西北风3-4级/西北风3-4级
2021-09-07,阴/多云,28/23,西北风1-2级/西北风1-2级
2021-09-08,多云/多云,31/23,东北风1-2级/东北风1-2级
2021-09-09,多云/多云,34/24,西北风1-2级/西北风1-2级
2021-09-10,多云/多云,34/24,东南风1-2级/东南风1-2级
2021-09-11,晴/多云,36/24,东北风1-2级/东北风1-2级
2021-09-12,多云/多云,34/24,东北风3-4级/东北风3-4级
2021-09-13,多云/多云,34/23,北风1-2级/北风1-2级
2021-09-14,多云/多云,34/23,东风1-2级/东风1-2级
2021-09-15,多云/晴,34/24,北风1-2级/北风1-2级
2021-09-16,晴/晴,34/24,北风1-2级/北风1-2级
2021-09-17,晴/晴,35/24,东北风1-2级/东北风1-2级
2021-09-18,晴/多云,34/24,东南风1-2级/东南风1-2级
2021-09-19,多云/中雨,36/22,北风1-2级/北风1-2级
2021-09-20,多云/晴,29/21,东北风1-2级/东北风1-2级
2021-09-21,晴/晴,34/20,东风1-2级/东风1-2级
2021-09-22,晴/晴,36/23,东北风1-2级/东北风1-2级
2021-09-23,晴/晴,37/26,东风1-2级/东风1-2级
2021-09-24,晴/晴,37/27,东南风1-2级/东南风1-2级
2021-09-25,晴/晴,37/26,南风1-2级/南风1-2级
2021-09-26,晴/多云,37/26,北风1-2级/北风1-2级
2021-09-27,多云/晴,36/25,北风1-2级/北风1-2级
2021-09-28,多云/中雨,36/25,东北风1-2级/东北风1-2级
2021-09-29,小雨/晴,28/21,西北风1-2级/西北风1-2级
2021-09-30,晴/晴,32/20,北风1-2级/北风1-2级
2021-10-01,晴/晴,34/22,北风1-2级/北风1-2级
2021-10-02,晴/晴,36/23,东风1-2级/东风1-2级
2021-10-03,晴/晴,36/28,东南风1-2级/东南风1-2级
2021-10-04,晴/晴,37/28,东风1-2级/东风1-2级
2021-10-05,晴/多云,36/21,东北风1-2级/东北风1-2级
2021-10-06,多云/多云,29/19,北风1-2级/北风1-2级
2021-10-07,阴/阴,24/17,北风3-4级/北风3-4级
2021-10-08,阴/阴,22/17,西北风1-2级/西北风1-2级
2021-10-09,小雨/小雨,20/18,北风3-4级/北风3-4级
2021-10-10,阴/阴,20/15,北风1-2级/北风1-2级
2021-10-11,多云/阴,17/14,西北风3-4级/西北风3-4级
2021-10-12,多云/多云,21/16,北风1-2级/北风1-2级
2021-10-13,多云/阴,21/17,北风1-2级/北风1-2级
2021-10-14,阴/小雨,20/17,西北风1-2级/西北风1-2级
2021-10-15,小雨/小雨,17/14,北风3-4级/北风3-4级
2021-10-16,小雨/小雨,16/12,北风3-4级/北风3-4级
2021-10-17,阴/阴,16/11,北风1-2级/北风1-2级
2021-10-18,多云/阴,17/10,西北风1-2级/西北风1-2级
